ANNÃ‰E,PIB_Nom,PIB_PC,Exp_PC,Imp_PC,PNB,TC_PIBr,IPC, TC_SP  ,TC_SS ,TC_ST ,VA_SP,VA_SS,VA_ST,Poids_SP,Poids_SS,Poids_ST,Prix_NC,Poids_NC,Ption_tot,Ption_Fim,Ption_Masc,Ption_Urb,TxCPtion
1994,"317,53","320,21","78,85","167,15","252,93","1,19","0,00","0,00","0,00","0,00","108,10","46,59","166,43","0,00","0,00","0,00","146,00","0,00","1.089.617,00","558.937,00","530.680,00","34,00","3,11"
1995,"304,21","331,24","70,99","167,17","247,95","3,45","0,00","0,00","0,00","0,00","116,59","49,15","167,18","0,00","0,00","0,00","142,00","0,00","1.117.222,00","572.926,00","544.297,00","34,37","2,53"
1996,"328,31","343,49","65,64","168,38","275,11","3,70","0,00","0,00","0,00","0,00","124,70","51,44","176,07","0,00","0,00","0,00","97,00","0,00","1.140.604,00","584.716,00","555.888,00","34,74","2,09"
1997,"407,46","360,99","85,54","241,64","328,03","12,73","0,00","0,00","0,00","0,00","128,38","54,89","183,67","0,00","0,00","0,00","250,00","0,00","1.162.443,00","595.692,00","566.751,00","35,11","1,91"
1998,"348,68","279,96","68,61","130,43","230,20","-22,45","0,00","0,00","0,00","0,00","112,97","32,35","140,48","0,00","0,00","0,00","300,00","0,00","1.184.071,00","606.801,00","577.270,00","35,49","1,86"
1999,"356,71","327,04","111,95","174,14","258,01","16,84","0,00","0,00","0,00","0,00","127,65","37,79","171,75","0,00","0,00","0,00","300,00","0,00","1.206.474,00","618.471,00","588.004,00","35,87","1,89"
2000,"277,94","330,64","136,20","207,34","289,43","1,10","0,00","0,00","0,00","0,00","121,12","34,63","179,98","0,00","0,00","0,00","300,00","0,00","1.230.849,00","630.899,00","599.950,00","36,24","2,02"
2001,"302,20","346,46","150,24","221,90","277,09","4,79","0,00","1,44","1,64","1,71","125,13","40,59","188,04","36,77","9,97","53,26","175,00","0,00","1.257.380,00","644.242,00","613.138,00","36,62","2,16"
2002,"323,81","359,12","132,65","177,10","269,97","3,63","3,90","0,56","5,26","-2,16","125,38","59,70","177,40","35,28","15,82","48,90","250,00","0,00","1.285.678,00","658.447,00","627.230,00","37,00","2,25"
2003,"321,04","358,10","129,75","144,72","265,37","-0,27","-3,55","1,56","0,80","-2,65","130,56","62,91","167,06","36,81","16,75","46,44","250,00","0,00","1.315.653,00","673.448,00","642.205,00","37,39","2,33"
2004,"307,00","362,29","144,16","217,48","271,01","1,15","0,86","0,09","-3,23","4,31","132,12","50,65","179,06","36,97","12,44","50,59","250,00","0,00","1.347.009,00","689.097,00","657.912,00","37,77","2,38"
2005,"337,33","386,06","164,99","197,62","297,51","6,57","3,36","5,69","0,56","0,31","153,46","52,09","168,31","40,40","12,44","47,16","250,00","0,00","1.379.713,00","705.396,00","674.317,00","38,16","2,43"
2006,"331,63","396,35","144,55","230,48","297,88","2,66","1,96","-0,04","0,23","2,47","153,55","52,75","181,86","39,48","12,09","48,43","350,00","0,00","1.414.091,00","722.513,00","691.579,00","38,55","2,49"
2007,"360,49","406,50","170,24","252,24","326,33","2,57","4,62","0,37","0,21","1,98","153,79","54,71","191,45","38,17","12,60","49,23","118,00","0,00","1.450.572,00","740.644,00","709.928,00","38,93","2,58"
2008,"424,89","424,89","171,91","283,98","370,87","4,52","7,91","1,93","-0,33","2,93","162,56","52,61","209,72","38,26","12,38","49,36","200,00","0,00","1.488.431,00","759.452,00","728.980,00","39,33","2,61"
2009,"418,64","435,29","205,25","252,72","382,39","2,45","-2,77","1,77","0,91","-0,23","170,02","56,44","199,96","39,15","12,76","48,09","180,00","0,00","1.527.196,00","778.729,00","748.466,00","39,72","2,60"
2010,"465,16","459,69","189,95","263,94","405,45","5,61","2,30","1,10","1,50","2,90","174,17","63,66","208,47","38,00","13,80","48,30","270,00","0,00","1.567.220,00","798.649,00","768.572,00","40,11","2,62"
2011,"545,27","496,86","267,78","277,28","0,00","8,09","5,10","2,70","-0,70","6,10","188,05","59,55","236,79","37,60","12,30","50,20","350,00","0,00","1.609.017,00","819.438,00","789.578,00","40,51","2,67"
2012,"535,78","488,35","232,07","262,71","0,00","-1,71","2,10","-0,10","-0,40","-1,30","187,67","57,69","236,22","38,10","12,10","49,90","250,00","0,00","1.652.717,00","841.145,00","811.572,00","40,91","2,72"
2013,"548,07","504,25","244,00","239,62","0,00","3,26","0,70","2,00","1,30","0,00","196,67","64,53","244,64","38,70","13,20","48,20","175,00","0,00","1.697.753,00","863.505,00","834.247,00","41,31","2,72"
2014,"560,54","509,11","263,59","279,68","0,00","0,96","-1,00","-3,20","1,40","2,80","180,14","71,51","279,72","34,80","14,70","50,50","250,00","0,00","1.743.309,00","886.107,00","857.202,00","41,72","2,68"
2015,"681,30","540,34","281,25","318,30","0,00","6,13","1,50","2,10","-0,80","4,80","191,78","67,04","306,31","35,20","12,90","51,90","300,00","0,00","1.788.919,00","908.728,00","880.191,00","42,12","2,62"
2016,"737,80","569,69","283,51","350,72","0,00","5,40","1,50","2,30","0,10","3,00","204,05","67,68","328,86","36,30","12,00","51,60","550,00","0,00","1.834.552,00","931.364,00","903.188,00","42,53","2,55"
2017,"853,60","596,50","301,64","387,07","0,00","4,70","1,00","1,40","1,00","2,40","211,95","73,24","350,00","36,40","11,70","51,90","850,00","0,00","1.879.826,00","953.800,00","926.027,00","42,95","2,47"
2018,"863,20","618,69","408,80","416,63","0,00","3,70","0,40","-0,70","3,80","0,70","207,57","94,87","350,80","32,50","16,40","51,10","474,00","0,00","1.924.955,00","976.163,00","948.791,00","43,36","2,40"
2019,"930,90","653,13","311,86","466,41","0,00","5,60","0,20","2,10","0,60","2,90","220,10","99,08","373,82","31,10","15,70","53,20","351,00","0,00","1.970.457,00","998.712,00","971.745,00","43,78","2,36"
2020,"969,10","667,03","270,35","415,57","0,00","2,10","1,50","1,40","0,70","0,00","229,54","103,23","374,55","35,70","12,50","51,70","375,00","0,00","2.015.828,00","1.021.222,00","994.606,00","44,20","2,30"
2021,"1.041,77","701,96","324,67","430,99","0,00","5,24","3,30","3,10","0,00","2,20","250,53","102,82","391,82","38,80","12,00","49,20","375,00","0,00","2.060.721,00","1.043.505,00","1.017.216,00","44,62","2,23"
2022,"1.147,10","741,17","284,04","476,54","0,00","5,60","7,90","0,50","0,30","4,80","253,99","105,26","430,65","38,70","12,80","48,50","0,00","0,00","2.105.566,00","1.065.706,00","1.039.860,00","45,04","0,00"
2023,"1.260,90","773,86","275,40","456,44","0,00","4,40","7,20","1,60","1,80","1,00","265,93","118,24","436,83","34,20","15,70","50,10","0,00","0,00","2.150.842,00","1.088.101,00","1.062.741,00","45,47","0,00"
2024,"1.337,80","812,95","268,35","450,22","0,00","5,10","3,70","1,60","1,20","2,30","277,86","127,22","460,14","42,50","16,10","41,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00"